date,open,high,low,close,volume,amount
2021-06-30,2246.549,2264.588,2240.887,2256.531,801210470,12377874900.0
2021-07-01,2256.479,2290.422,2250.862,2268.575,1103862020,15734321000.0
2021-07-02,2263.771,2263.771,2217.052,2220.145,1131241300,18428074000.0
2021-07-05,2214.447,2224.968,2202.343,2213.866,953694430,15077848000.0
2021-07-06,2214.647,2215.263,2152.623,2173.17,1009999200,18920926000.0
2021-07-07,2164.656,2198.022,2160.282,2195.515,721483380,14823051000.0
2021-07-08,2198.813,2199.306,2156.777,2156.971,1088951740,14740778000.0
2021-07-09,2148.188,2154.345,2122.9,2149.788,832999520,11800274900.0
2021-07-12,2152.102,2177.631,2139.668,2165.193,916848020,15740066000.0
2021-07-13,2163.391,2172.279,2149.452,2170.246,841441480,13311814300.0
2021-07-14,2168.026,2205.441,2157.864,2192.476,1043860040,16365108000.0
2021-07-15,2182.331,2182.331,2139.635,2163.301,911308300,13699484000.0
2021-07-16,2164.549,2165.317,2145.566,2146.564,878909110,13818311000.0
2021-07-19,2145.398,2177.022,2137.547,2169.543,841032500,12718474100.0
2021-07-20,2167.165,2198.436,2164.648,2198.123,942038770,13220445400.0
2021-07-21,2209.446,2223.844,2201.71,2208.831,793861450,12926423600.0
2021-07-22,2203.066,2203.066,2172.495,2177.083,700659660,12816169800.0
2021-07-23,2170.61,2170.766,2119.108,2121.26,658528040,14353623000.0
2021-07-26,2118.787,2118.787,2042.461,2065.305,723864940,15167499000.0
2021-07-27,2066.051,2080.618,2020.977,2020.977,669005950,14283071000.0
2021-07-28,2012.291,2051.602,1969.533,2051.602,826671840,16732242000.0
2021-07-29,2073.58,2090.369,2069.573,2086.88,785063450,16030466000.0
2021-07-30,2075.911,2116.205,2049.631,2116.001,943570420,17932068000.0
2021-08-02,2131.862,2148.78,2100.606,2148.232,968456710,20281592000.0
2021-08-03,2140.569,2239.194,2136.549,2232.001,1170132680,24562561000.0
2021-08-04,2221.228,2221.256,2181.762,2211.422,901540440,20035763000.0
2021-08-05,2199.045,2213.087,2161.076,2163.102,891672750,18216660000.0
2021-08-06,2154.479,2154.734,2112.992,2127.644,708611450,18330446000.0
2021-08-09,2114.394,2151.347,2113.306,2148.562,651945310,14081895000.0
2021-08-10,2147.463,2170.058,2138.098,2167.895,608975890,12841370900.0
2021-08-11,2164.222,2164.673,2144.536,2145.732,592358050,11092182700.0
2021-08-12,2144.678,2160.714,2133.939,2141.522,614443720,14448668000.0
2021-08-13,2138.747,2149.474,2128.056,2142.127,539560620,12541834400.0
2021-08-16,2140.584,2170.8,2136.674,2159.575,515817160,10889364800.0
2021-08-17,2153.881,2154.083,2096.246,2101.086,685465750,15827691000.0
2021-08-18,2095.914,2115.477,2093.01,2110.99,607380090,11394221100.0
2021-08-19,2104.633,2123.714,2103.178,2108.82,593269260,10707535500.0
2021-08-20,2097.476,2097.476,2024.282,2039.843,692960820,16362565000.0
2021-08-23,2043.022,2077.944,2028.185,2075.858,605404620,13831739000.0
2021-08-24,2078.902,2091.003,2072.777,2086.696,584892990,15421211000.0
2021-08-25,2085.363,2104.841,2070.595,2104.841,566536250,12737947400.0
2021-08-26,2101.384,2101.384,2070.834,2073.622,537735290,11565167700.0
2021-08-27,2067.32,2076.691,2055.424,2066.597,561293980,11965854800.0
2021-08-30,2066.879,2073.169,2046.329,2053.713,657875090,11886471300.0
2021-08-31,2052.702,2058.571,2021.866,2034.784,647355940,12095284700.0
2021-09-01,2033.366,2045.289,2008.699,2041.415,640603510,12579616300.0
2021-09-02,2040.306,2048.015,2021.918,2026.12,514805090,11201297000.0
2021-09-03,2036.234,2062.531,2031.478,2058.747,632211690,12978900300.0
2021-09-06,2060.825,2106.476,2060.825,2106.129,712306310,15440757000.0
2021-09-07,2106.667,2116.016,2097.869,2115.553,587696320,11650831800.0
2021-09-08,2117.107,2128.717,2111.157,2118.014,769909080,11750853200.0
2021-09-09,2116.08,2121.274,2106.163,2113.034,587098520,9943205300.0
2021-09-10,2110.987,2111.657,2084.337,2091.179,559070480,10417172100.0
2021-09-13,2096.835,2118.391,2096.835,2101.747,603470180,12109551500.0
2021-09-14,2104.223,2125.676,2085.413,2089.317,624559810,12556032100.0
2021-09-15,2086.891,2089.146,2064.463,2080.184,516782220,11459526000.0
2021-09-16,2076.683,2091.351,2058.275,2059.834,621138280,11689809800.0
2021-09-17,2064.295,2102.432,2055.977,2100.762,684892510,14800666000.0
2021-09-22,2076.941,2118.955,2073.926,2099.795,609653450,11609995100.0
2021-09-23,2095.47,2126.76,2093.762,2110.89,593327720,11984029200.0
2021-09-24,2108.647,2123.671,2092.724,2107.925,598537970,11216673700.0
2021-09-27,2106.278,2125.017,2083.053,2085.807,723507640,14290503000.0
2021-09-28,2083.534,2091.519,2070.708,2077.581,478505640,9831889300.0
2021-09-29,2063.848,2066.143,2013.838,2013.838,533445630,9758553300.0
2021-09-30,2022.404,2058.125,2022.404,2054.338,414494580,8999646300.0
2021-10-08,2055.907,2082.66,2050.905,2076.386,648761170,12902578000.0
2021-10-11,2077.341,2099.993,2066.869,2070.411,489897790,11471445100.0
2021-10-12,2066.168,2085.695,2051.752,2066.887,630689110,11371177300.0
2021-10-13,2066.091,2093.444,2062.642,2092.076,627464450,10223549300.0
2021-10-14,2089.821,2089.973,2070.646,2079.452,499777520,9704714600.0
2021-10-15,2069.078,2069.507,2034.041,2041.652,602118090,10210687800.0
2021-10-18,2038.32,2038.32,2007.44,2013.443,456167450,9114218300.0
2021-10-19,2014.362,2033.013,2011.786,2028.288,380753200,8339076400.0
2021-10-20,2023.34,2029.356,2005.827,2020.908,515836320,9884163300.0
2021-10-21,2021.368,2030.835,2010.898,2016.802,580457940,8462231100.0
