date,open,high,low,close,volume
2002-03-06,3127.773,3217.279,3114.193,3151.439,1443856563
2002-03-07,3157.675,3263.882,3157.675,3262.394,1389922090
2002-03-08,3291.089,3342.267,3243.999,3318.929,1954560878
2002-03-11,3327.338,3380.559,3291.422,3380.559,1598566289
2002-03-12,3382.214,3393.439,3301.734,3303.289,1540879934
2002-03-13,3284.23,3348.641,3263.69,3267.927,1237819539
2002-03-14,3263.949,3359.332,3262.795,3359.127,1077477238
2002-03-15,3373.87,3385.424,3266.723,3267.809,1189879344
2002-03-18,3304.509,3338.89,3249.352,3283.79,850570360
2002-03-19,3286.617,3339.237,3266.754,3334.754,875168072
2002-03-20,3343.061,3376.199,3319.498,3356.716,1135515352
2002-03-21,3365.278,3382.677,3340.787,3357.019,998375748
2002-03-22,3358.636,3358.636,3295.675,3312.761,786171092
2002-03-25,3303.8,3316.292,3290.799,3312.109,611179806
2002-03-26,3313.048,3313.048,3238.13,3251.034,679483162
2002-03-27,3245.631,3264.201,3222.055,3257.628,618419635
2002-03-28,3258.104,3288.55,3246.713,3259.68,650719408
2002-03-29,3257.189,3257.189,3165.426,3173.9,771275248
2002-04-01,3161.103,3186.527,3138.105,3179.117,566408225
2002-04-02,3179.25,3187.823,3113.678,3124.468,645965316
2002-04-03,3124.106,3157.403,3123.765,3142.699,584739797
2002-04-04,3140.295,3220.79,3113.469,3217.556,706837250
2002-04-05,3235.709,3247.505,3192.876,3207.224,740827344
2002-04-08,3205.812,3215.795,3191.543,3208.062,473333594
2002-04-09,3209.647,3270.397,3194.924,3263.701,868374512
2002-04-10,3269.098,3273.762,3246.68,3271.024,807861845
2002-04-11,3275.422,3275.908,3215.146,3216.971,703085134
2002-04-12,3210.813,3245.196,3209.609,3231.384,603530586
2002-04-15,3233.235,3237.381,3176.571,3198.257,574590454
2002-04-16,3193.966,3216.406,3179.947,3193.785,512443924
2002-04-17,3200.535,3212.713,3172.146,3192.765,455197946
2002-04-18,3192.887,3193.682,3143.848,3146.061,502159067
2002-04-19,3138.802,3149.071,3082.331,3145.473,627661032
2002-04-22,3133.631,3146.0,3114.897,3124.573,460018684
2002-04-23,3122.28,3145.284,3108.305,3108.305,423358763
2002-04-24,3110.12,3130.949,3101.914,3107.741,404912784
2002-04-25,3108.16,3126.006,3095.845,3122.273,403804583
2002-04-26,3125.472,3176.879,3125.472,3174.88,556521465
2002-04-29,3178.171,3229.621,3172.536,3228.414,734002989
2002-04-30,3234.198,3263.496,3229.197,3253.46,730588539
2002-05-08,3255.019,3265.956,3224.702,3227.925,420313395
2002-05-09,3219.601,3267.01,3216.355,3249.013,514859144
2002-05-10,3250.103,3253.075,3215.178,3216.691,570398568
2002-05-13,3208.04,3208.04,3171.922,3175.669,441698416
2002-05-14,3173.533,3193.332,3149.164,3153.153,412538245
2002-05-15,3150.907,3162.75,3123.258,3131.417,418495968
2002-05-16,3120.585,3120.585,3060.018,3066.88,563730276
2002-05-17,3054.292,3100.378,3038.229,3100.248,511913577
2002-05-20,3106.201,3106.201,3041.402,3072.23,412070145
2002-05-21,3129.192,3199.602,3106.688,3170.608,866112895
2002-05-22,3169.66,3174.388,3132.403,3133.529,560877397
2002-05-23,3140.154,3175.253,3123.543,3127.131,453416982
2002-05-24,3131.502,3136.099,3072.998,3080.785,489940797
2002-05-27,3089.439,3106.574,3061.675,3083.757,333918936
2002-05-28,3093.56,3118.534,3086.883,3102.262,382507648
2002-05-29,3108.567,3108.567,3041.546,3051.845,426635343
2002-05-30,3050.692,3061.022,3014.668,3059.329,384622178
